label,contrast,dissimilarity,homogeneity,energy,correlation,asm
freshapples,5847.885906040269,22.93288590604027,0.9100684971236079,0.8424666968962555,0.5684703922573251,0.7097501353792872
freshapples,6630.513422818792,26.00201342281879,0.8980328880321903,0.8183685724659653,0.5728198308836805,0.669727120399982
freshapples,4617.2114093959735,18.106711409395974,0.9289943805647591,0.8790114210462825,0.5599871135135667,0.7726610783298049
freshapples,7512.060402684564,29.459060402684564,0.8844760495388835,0.8021711950001159,0.545785597597761,0.643478626087914
freshapples,7750.6308724832215,30.394630872483223,0.8808072021578566,0.8133136298518426,0.48960408338678285,0.6614790605027802
freshapples,7963.01677852349,31.22751677852349,0.8775410331479179,0.7977528377628007,0.521873042393092,0.6364095901586014
freshapples,8605.993288590604,33.748993288590604,0.867653042035638,0.7854395190288939,0.5066244385491291,0.61691523805234
freshapples,4719.040268456376,18.506040268456378,0.9274284091216379,0.8770125216721978,0.556247284972782,0.7691509631698272
freshapples,5094.352348993289,19.97785234899329,0.9216566858027053,0.8693820932645238,0.5444241713943486,0.7558252240890051
freshapples,6662.51677852349,26.12751677852349,0.897540725578638,0.829819183245617,0.5330750183224824,0.6885998768824229
freshapples,4893.604026845637,19.190604026845637,0.9247438866477157,0.8781845795667209,0.5272731955186152,0.7712081557887784
freshapples,5629.681208053691,22.07718120805369,0.9134241502160106,0.855857130784128,0.5405266667364687,0.7324914283140399
freshapples,6162.10067114094,24.16510067114094,0.905236356670548,0.8456411301607637,0.5240479491027621,0.7151089210195737
freshapples,4355.365771812081,17.07986577181208,0.9330211642756423,0.8816527522526397,0.5818850535211487,0.7773115755546546
freshapples,6764.345637583893,26.526845637583893,0.8959747541355167,0.8295756541488476,0.5241201539019529,0.6881957659564885
freshapples,3281.798657718121,12.869798657718121,0.9495309774902636,0.9008879226029634,0.6407289974428299,0.8115990490918829
freshapples,8448.885906040268,33.132885906040265,0.870069112262168,0.793870330562346,0.49387229290720647,0.6302301017471685
freshapples,5687.8691275167785,22.30536912751678,0.91252930939137,0.8578245042259216,0.5254246706150919,0.7358628800504482
freshapples,5935.167785234899,23.2751677852349,0.9087262358866469,0.8313169100010147,0.5960707108191602,0.6910878048536352
freshapples,5399.838926174497,21.1758389261745,0.9169587714733415,0.8481490917416231,0.5939175661743952,0.7193568818221402
freshapples,4189.530201342282,16.429530201342285,0.9355714606258684,0.8691609436188135,0.6503732383005557,0.7554407459123462
freshapples,4812.140939597316,18.871140939597318,0.9259966638022128,0.8545277443541003,0.6322841667740795,0.7302176658709066
freshapples,4666.671140939597,18.300671140939595,0.9282337658638146,0.8602709521634071,0.6287584640603494,0.7400661111361351
freshapples,3107.234899328859,12.185234899328858,0.9522154999641856,0.9012639503810107,0.6640083266950846,0.812276708256385
freshapples,6444.312080536913,25.271812080536915,0.9008963786710407,0.8408398605834195,0.5134869593321917,0.7070116711459444
freshapples,2950.1275167785234,11.569127516778524,0.9546315701907157,0.90841649126275,0.654905505696848,0.8252205215981261
freshapples,7005.825503355704,27.4738255033557,0.8922611647132578,0.8180614043949265,0.5408323940464616,0.6692244613605994
